183
Tiny Hotel
double 109
king 119
suite 189

1
Hotel Deterministic
double 70
double 80
double 90
suite 130
king 100
king 120

943
Hotel Manitoba
double 50
double 50
double 50
double 50
double 60
double 60
double 60
double 60
double 70
double 70
double 70
double 70
double 80
double 80
double 80
double 80

101
NP Hotel
double 150
king 200
suite 250
suite 250
king 200
double 150
king 200
king 200
suite 250
suite 250
suite 250
double 150
double 150
king 200
double 150
king 200
suite 250
suite 250
king 200
double 150
double 150
king 200
suite 250
suite 250
king 200
double 150
king 200
king 200
suite 250
suite 250
suite 250
double 150
double 150
king 200
double 150
king 200
suite 250
suite 250
king 200
double 150
double 150
king 200
suite 250
suite 250
king 200
double 150
king 200
king 200
suite 250
suite 250
suite 250
double 150
double 150
king 200
double 150
king 200
suite 250
suite 250
king 200
double 150
